Code,Name,Market,entry,exit,entry_px,exit_px,ret,reason,hold_days,sell_tax
048260,오스템임플란트,KOSDAQ,2021-03-10,2021-04-20,338.71025641025625,369.3452991452988,0.08761142722641613,trend,41,0.0023
082920,비츠로셀,KOSDAQ,2023-06-13,2023-07-17,374.1412844036686,407.4403669724758,0.08649703098709383,trend,34,0.002
290650,엘앤씨바이오,KOSDAQ,2023-05-25,2023-07-27,125.29647495361772,134.97996289424847,0.07480721696717119,trend,63,0.002
014680,한솔케미칼,KOSPI,2020-07-16,2020-08-18,551.1000000000009,584.0148148148155,0.056758879663886486,trend,33,0.0025
131390,피앤이솔루션,KOSDAQ,2015-12-11,2016-01-11,120.90799999999983,127.61093333333315,0.051955870672508286,trend,31,0.003
023160,태광,KOSDAQ,2025-01-13,2025-02-11,90.91880184331761,95.20092165898583,0.045213792677998965,trend,29,0.0015
307950,현대오토에버,KOSPI,2023-08-31,2023-09-20,198.81848928974082,207.36347237880517,0.04058032359608066,trend,20,0.002
011200,HMM,KOSPI,2020-07-30,2020-08-19,27.42374409485283,28.349646463087,0.030868697588312566,trend,20,0.0025
137940,넥스트아이,KOSDAQ,2020-10-13,2020-11-10,26.215937940761577,26.88547249647384,0.022668138911141833,trend,28,0.0025
042660,한화오션,KOSPI,2023-07-10,2023-07-28,109.92667828552868,112.12929312025534,0.017691393660626664,trend,18,0.002
012330,현대모비스,KOSPI,2025-09-01,2025-09-26,114.92473118279571,106.66624000000002,-0.07353040143978384,stop,25,0.0015
014680,한솔케미칼,KOSPI,2025-07-14,2025-07-23,659.8355555555553,612.4197725333331,-0.07353040143978395,stop,9,0.0015
029780,삼성카드,KOSPI,2025-07-11,2025-07-21,151.65405405405366,140.75619372972935,-0.07353040143978407,stop,10,0.0015
032640,LG유플러스,KOSPI,2025-07-23,2025-07-29,139.26880733944918,129.26095084403636,-0.07353040143978407,stop,6,0.0015
069620,대웅제약,KOSPI,2025-12-12,2025-12-18,244.11904161412235,226.5766472837315,-0.07353040143978418,stop,6,0.0015
006280,녹십자,KOSPI,2025-01-02,2025-01-03,147.42540983606574,136.83141988524605,-0.07353040143978418,stop,1,0.0015
267270,HD현대건설기계,KOSPI,2025-07-25,2025-09-01,38.8275,36.03735585,-0.07353040143978418,stop,38,0.0015
100090,SK오션플랜트,KOSPI,2025-08-05,2025-08-12,538.2952853598017,499.6133861538463,-0.07353040143978429,stop,7,0.0015
010060,OCI홀딩스,KOSPI,2025-08-19,2025-08-20,57.83427055702903,53.67829987480092,-0.07353040143978429,stop,1,0.0015
